source,run_dir,method,method_label,seed,data_fraction,lambda_orbit,max_boost,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,severity
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,71,0.02,0.1,0.5,0.4171714447438717,0.516153625678271,0.4720157156698406,boost_0.50
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_23,aug_steps_6,FNO + aug.,23,0.02,,0.1,0.4750366043299436,0.4774191291071474,0.1680631104391068,boost_0.10
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_31,aug_steps_6,FNO + aug.,31,0.02,,0.1,0.5449895411729813,0.5482212519273162,0.189314167946577,boost_0.10
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_47,aug_steps_6,FNO + aug.,47,0.02,,0.1,0.5343834832310677,0.5391324646770954,0.1880486221052706,boost_0.10
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_59,aug_steps_6,FNO + aug.,59,0.02,,0.1,0.4084545504301786,0.4162450204603374,0.1514818534487858,boost_0.10
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_71,aug_steps_6,FNO + aug.,71,0.02,,0.1,0.5415244773030281,0.5437778839841485,0.1899516626726836,boost_0.10
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_23,aug_steps_6,FNO + aug.,23,0.02,,0.2,0.4750366043299436,0.4881017762236297,0.3041425216943025,boost_0.20
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_31,aug_steps_6,FNO + aug.,31,0.02,,0.2,0.5449895411729813,0.5600695637986064,0.341008560732007,boost_0.20
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_47,aug_steps_6,FNO + aug.,47,0.02,,0.2,0.5343834832310677,0.5519582414999604,0.337521880865097,boost_0.20
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_59,aug_steps_6,FNO + aug.,59,0.02,,0.2,0.4084545504301786,0.4356270330026746,0.2783382427878678,boost_0.20
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_71,aug_steps_6,FNO + aug.,71,0.02,,0.2,0.5415244773030281,0.5524719236418605,0.341250556986779,boost_0.20
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_23,aug_steps_6,FNO + aug.,23,0.02,,0.25,0.4750366043299436,0.4972918760031461,0.3596999053843319,train_radius
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_31,aug_steps_6,FNO + aug.,31,0.02,,0.25,0.5449895411729813,0.5696513308212161,0.4026628183200955,train_radius
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_47,aug_steps_6,FNO + aug.,47,0.02,,0.25,0.5343834832310677,0.561854443512857,0.3977827029302716,train_radius
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_59,aug_steps_6,FNO + aug.,59,0.02,,0.25,0.4084545504301786,0.4497375930659473,0.3324574260041117,train_radius
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_71,aug_steps_6,FNO + aug.,71,0.02,,0.25,0.5415244773030281,0.5597602818161249,0.4025210770778358,train_radius
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_23,aug_steps_6,FNO + aug.,23,0.02,,0.35,0.4750366043299436,0.5244967336766422,0.4528833227232098,boost_0.35
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_31,aug_steps_6,FNO + aug.,31,0.02,,0.35,0.5449895411729813,0.596876441501081,0.5053292587399483,boost_0.35
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_47,aug_steps_6,FNO + aug.,47,0.02,,0.35,0.5343834832310677,0.5880893496796489,0.4960509627126157,boost_0.35
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_59,aug_steps_6,FNO + aug.,59,0.02,,0.35,0.4084545504301786,0.4870462054386735,0.4280110928229987,boost_0.35
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_71,aug_steps_6,FNO + aug.,71,0.02,,0.35,0.5415244773030281,0.580867157317698,0.5035683275200427,boost_0.35
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_23,aug_steps_6,FNO + aug.,23,0.02,,0.5,0.4750366043299436,0.5874029514379799,0.5706425551325083,boost_0.50
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_31,aug_steps_6,FNO + aug.,31,0.02,,0.5,0.5449895411729813,0.6562302224338055,0.6294430182315409,boost_0.50
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_47,aug_steps_6,FNO + aug.,47,0.02,,0.5,0.5343834832310677,0.6413239790126681,0.6090427222661674,boost_0.50
