split,max_boost,sample_index,base_boost_x,base_boost_y,delta_boost_x,delta_boost_y,delta_boost_norm,closure_residual_relative,closure_abs_l2,closure_reference_l2
test,0.5,159,0.13178610801696777,0.3930416703224182,0.3957090377807617,0.05801570415496826,0.39993932843208313,4.46629599082371e-07,2.643784500833135e-05,59.19411849975586
test,0.5,164,0.23990148305892944,-0.4895015358924866,0.31039220094680786,0.4923117756843567,0.5819916129112244,5.852738240719191e-07,3.4400916774757206e-05,58.77747344970703
test,0.5,167,-0.42295849323272705,-0.31383055448532104,-0.36901724338531494,-0.4841150641441345,0.6087208986282349,6.217787813511677e-07,3.597069007810205e-05,57.85126495361328
test,0.5,171,0.08475738763809204,-0.20662987232208252,0.12343794107437134,-0.4743858575820923,0.490182489156723,5.212385758568416e-07,3.045619814656675e-05,58.43043518066406
test,0.5,188,0.2048930525779724,-0.3574151396751404,0.19380468130111694,-0.30672264099121094,0.36282095313072205,4.381967642075324e-07,2.588723145890981e-05,59.07672882080078
test,0.5,189,-0.2110568881034851,-0.4094495177268982,0.0018833279609680176,0.4714552164077759,0.47145897150039673,4.3162805241081514e-07,2.5266577722504735e-05,58.53784942626953
test,0.5,193,-0.17885053157806396,0.062303364276885986,0.4778352975845337,0.2872392535209656,0.5575239658355713,5.772108124801889e-07,3.392645521671511e-05,58.77653884887695
test,0.5,226,0.30458301305770874,-0.2654069662094116,0.43404483795166016,0.2685222029685974,0.510391116142273,4.903347416984616e-07,2.9144812287995592e-05,59.438602447509766
test,0.5,227,0.02735680341720581,0.3433828353881836,-0.4764556288719177,0.33122628927230835,0.5802764892578125,5.304046339915658e-07,3.088214361923747e-05,58.2237434387207
test,0.5,234,0.1217573881149292,-0.3128387928009033,0.1636437177658081,-0.17732787132263184,0.2412974089384079,3.8752423847654427e-07,2.2357062334776856e-05,57.69203567504883
